"Progrès vers l’atteinte des objectifs de population et de répartition des populations d’espèces en péril, Canada, mai 2023",,,,,,,,,,
,,,,,,,,,,
Nom commun,Nom scientifique,Groupe d'espèces,Désignation de la Loi sur les espèces en péril,Version finale du document de rétablissement,COSEWIC Date de réévaluation,Date du rapport sur les progrès de la mise en œuvre du programme de rétablissement,Objectifs du document de rétablissement,Données sur les espèces,Logique,Progrès vers l’atteinte des objectifs de population et de répartition des populations d’espèces en péril
Obovarie ronde,Obovaria subrotunda,Mollusc,En voie de disparition,7/13/2006,5/1/2013,5/18/2022,Rétablir des populations saines et autosuffisantes dans la rivière Sydenham et le delta du lac Sainte?Claire. Rétablir les populations dans les milieux occupés historiquement.,"Selon les estimations, l’obovarie ronde a connu un déclin de population de 75 à 95 % entre 2003 et 2013 et les populations de la rivière Sydenham et du lac Sainte?Claire sont maintenant sur le point de disparaître. Quelque 55?000 individus matures avaient été signalés dans le lac Sainte?Claire en 2001, alors que la population comptait entre 825 et 13?750 individus matures en 2013. Aucun individu mature vivant n’a été trouvé dans le cadre des relevés effectués dans la rivière Sydenham entre 2002 et 2009, mais un individu vivant a été trouvé en 2012. La zone d’occurrence était de 120 kilomètres carrés en 2013, ce qui représente une diminution de 92 % depuis 2001.",Les échantillonnages effectués au cours des cinq dernières années n’ont mené à aucune détection d’obovarie ronde dans de nouvelles localités ou des localités occupées par le passé.,Ne montre aucun progrès
Pleurobème écarlate,Pleurobema sintoxia,Mollusc,En voie de disparition,1/29/2007,5/1/2014,6/11/2013,"Prévenir la disparition du Pleurobème écarlate au Canada. Rétablir des populations en santé et autosuffisantes dans les rivières Sydenham, Thames et Grand, ainsi que dans le delta du lac St. Clair.","L'espèce occupe une petite zone, où l'on observe des baisses soutenues de la superficie, de l'étendue et de la qualité de l'habitat. Le nombre d'individus vivants trouvés était moins élevé à 3 sites. Dans la rivière Grand, le nombre d'individus vivants trouvé avait augmenté, mais ces individus étaient grands/vieux et l'augmentation résultait probablement de l'intensification des activités de recherche.","On a observé un déclin de la superficie, de l'étendue et de la qualité de l'habitat ainsi qu'une baisse apparente du nombre d'individus vivants.",Ne montre aucun progrès
Quiscale rouilleux,Euphagus carolinus,Oiseau,Préoccupante,7/31/2015,4/1/2017,,"Mettre un terme au déclin de la population d'ici 2025. À plus long terme, augmenter l’abondance de la population, de manière à obtenir une augmentation soutenue. ","Depuis 1970, la population a subi une réduction totale de de 85 à 90 %. Cependant, la population a été assez stable entre 2004 et 2014.", Le taux de diminution semble se stabiliser.,Montre des progrès
Entosthodon rouilleux,Entosthodon rubiginosus,Mousse,En voie de disparition,9/21/2012,4/1/2017,4/1/2017,"Maintenir ou augmenter la taille actuelle des populations dans les 6 populations existantes connues, ainsi que toute autre population qui pourrait être repérée.","L’entosthodon rouilleux a été signalé dans 17 sites, dont la plupart sont petites. Toutefois, plusieurs des petites sous-populations n’ont pas été retrouvées en 2015, de sorte qu’il est difficile d’estimer les tendances en matière d’abondance.", Les populations semblent stables. Quelques sites avec peu d'individus pourraient avoir disparu.,Preuves mitigées
Moqueur des armoises,Oreoscoptes montanus,Oiseau,En voie de disparition,12/10/2014,11/1/2021,,Maintenir la population de Moqueurs des armoises et veiller à ce que de 15 à 20 couples subsistent à au moins cinq sites se trouvant dans l’aire de répartition de l’espèce au Canada.,"Selon les estimations, il y aurait de 6 à 24 individus matures en Colombie-Britannique et de 1 à 12 individus matures en Alberta et en Saskatchewan. Il n’y a aucune indication de déclin, bien que les observations demeurent trop rares pour qu’il soit possible d’estimer les tendances de façon fiable.",Les tendances démographiques ne peuvent être estimées de façon fiable en raison de la rareté des observations.,Données insuffisantes pour déterminer les tendances
Mulette du Necture,Simpsonaias ambigua,Mollusc,En voie de disparition,1/29/2007,5/1/2011,6/11/2013,Prévenir la disparition de la Mulette du Necture au Canada. Rétablir/maintenir des populations saines et autosuffisantes dans les rivières Sydenham et Thames et dans le delta de la rivière St.-Clair.,"La Mulette du Necture semble limitée à la rivière Sydenham Est au Canada, où 17 spécimens vivants ont été trouvés à 4 différents sites pendant des inventaires approfondis réalisés de 1997 à 1999. Même s'il y a peu de données, on ne dispose d'aucune preuve que la population présente dans la rivière Sydenham est en déclin. La qualité de l'habitat continue à décliner en raison de l'agriculture intensive, du développement urbain et de la pollution de sources ponctuelles et non ponctuelles.",La qualité de l'habitat continue à décliner et l'espèce est actuellement présente dans une seule rivière.,Ne montre aucun progrès
Meunier de Salish,Catostomus sp. cf. catostomus,"Poisson, eau douce",Menacée,2/26/2020,11/4/2013,8/17/2022,Les objectifs de population pour le meunier de Salish sont spécifiques à la portée et varient de 1500 à 5500 pour un total de 31 500 individus au Canada. L'objectif de répartition à court terme est la persistance dans les onze bassins hydrographiques actuellement occupés. L'objectif de distribution à long terme est la présence dans tous les tronçons d'habitat essentiel.,Estimations de la population de meuniers de Salish (avec l'année de l'estimation) tirées du programme de rétablissement : Agassiz Slough (2012) : 253 (203 à 354); cours principal du ruisseau Bertrand (2013) : 735 (638 à 862); Perry Homestead (2016) : pas d'estimation; Howe's Creek (2012) : 329 (206 à 711); Luckakuck Creek (2014) : 378 (345 à 416); Semmihault Creek (2015) : 547 (327 à 1 029); Atchelitz Creek (2015) : 239 (212 à 280); Little Chilliwack Creek Mainstem (2015) : 351 (280 à 496); fossé d'interception : 739 (315 à 794); Elk Creek/Hope Slough (2006) : pas d'estimation; (2006) pas d'estimation; Fishtrap Creek (2013) : pas d'estimation; Little Campbell River (2014) : pas d'estimation; Miami River (2012) : 102 (67 à 193); Mountain Slough (2016) : pas d'estimation; Pepin Creek (2012) : 1 754 (1 318 à 2 900); rivière Upper Salmon (2013) : 751 (649 à 915); Lower Salmon River (2013) : pas d'estimation; Salwein Creek (2012) : 288 (191 à 635); Hopedale Slough (2012) : 469 (346 à 712),Les estimations récentes de la population indiquent un déclin de 46 % au cours de la dernière décennie.,Ne montre aucun progrès
Saule psammophile,Saule psammophile,"Plante vasculaire, herbe",Préoccupante,12/18/2013,4/1/2018,4/1/2018,Maintenir la densité de population actuelle et la zone d'occupation.,Population estimée entre 4 240 000 et 90 500 000 individus. Déclin potentiel de l'étendue de l'occurrence en raison de l'entrée de forêt le long des marges ouest des dunes de la rivière William. Déclin de l'habitat en raison de la conversion nette de la surface des dunes ouvertes en forêt.,Aucun information n'est disponible pour évaluer les tendances de population.,Données insuffisantes pour déterminer les tendances
Noctuelle de l'abronie,Copablepharon fuscum,Insecte,En voie de disparition,10/23/2012,11/1/2013,11/1/2013,Accroître la taille des 4 sous-populations connues et établir 1 nouvelle sous-population au Canada.,"La présence de la noctuelle de l'abronie a été constatée à 5 sites en Colombie-Britannique, dont 2 nouveaux depuis l'évaluation initiale (2003). La taille de la population n'est pas bien connue. Une réduction est inférée de la perte cumulée d'habitat à tous les sites.",On en sait trop peu sur la taille de la population pour évaluer les changements. ,Données insuffisantes pour déterminer les tendances
Bruant des prés de la sous-espèce princeps,Passerculus sandwichensis princeps,Oiseau,Préoccupante,10/25/2006,5/1/2023,,Maintenir la population reproductrice à son niveau actuel. ,Aucun changement. La population est demeurée relativement stable au cours des vingt dernières années. La population reproductrice est estimée à 5 100 individus matures.,La population est stable et répond aux objectifs en matière de rétablissement.,Montre des progrès
Loutre de mer,Enhydra lutris,Mammifère,Préoccupante,12/19/2007,4/1/2022,4/18/2023,"Maintenir l’abondance et la répartition observées au Canada en 2008 et favoriser la croissance et l’expansion continues de la population dans les régions autrefois occupées comme Haida Gwaii, la baie Barkley et le nord de la côte continentale de la Colombie-Britannique.","Depuis 1995, la population de loutres de mer affiche un taux de croissance annuel d’environ 8,7 % en Colombie-Britannique.",La population de loutres de mer est stable et en croissance. L’abondance mesurée en 2017 est 12 fois plus élevée qu’en 1990 ou 5 fois plus élevée qu’en 1996. La loutre de mer continue d’étendre son aire de répartition et la capacité de charge a été atteinte dans certaines zones.,Montre des progrès
Lotier splendide,Lotus formosissimus,"Plante vasculaire, herbe",En voie de disparition,8/11/2006,11/1/2010,11/1/2010,"Maintenir toutes les 5 populations/sous-populations existantes, tout en augmentant les plus petites populations et en conservant les plus larges à leurs niveaux d'abondance actuels. Établir 1 population supplémentaire contenant au moins 100 individus en fleur par an.

La réévaluation du Comité sur la situation des espèces en péril au Canada considère 2 sites existants comme formant une seule population, ce qui explique la différence du nombre de sites pris en compte.","Les 4 populations canadiennes existantes comprennent un total estimé de 650 à 960 individus matures. Une des populations ne comprend que 3 individus matures, tandis que les autres 3 comprennent des centaines d'individus. Étant donné les incohérences existant entre les territoires visés par les divers inventaires, il est impossible d'établir les tendances de l'ensemble de la population canadienne. Cependant, les populations et sous-populations ayant fait l'objet d'inventaires répétés semblent stables.",Les populations semblent être autosuffisantes. Aucune nouvelle population n'a été établie.,Preuves mitigées
